index,train_type
19050,0
12793,0
10021,0
19020,0
18685,0
18485,0
3015,0
517,0
11985,0
3594,0
6679,0
8120,0
10201,0
2764,0
9419,0
7690,0
16033,0
3417,0
10230,0
1228,0
6138,0
2527,0
11267,0
7980,0
16247,0
11780,0
19464,0
9055,0
12658,0
16777,0
9618,0
9365,0
16031,0
2353,0
469,0
7640,0
2614,0
2596,0
7826,0
18719,0
10029,0
16682,0
8000,0
18332,0
8894,0
7656,0
1710,0
8333,0
8489,0
623,0
12407,0
18458,0
12272,0
12780,0
9727,0
2698,0
621,0
18121,0
9616,0
16937,0
17394,0
1503,0
9467,0
2490,0
9015,0
3181,0
11758,0
19590,0
10864,0
11001,0
12839,0
18778,0
802,0
8442,0
1936,0
19039,0
9000,0
12209,0
18154,0
11292,0
12258,0
7873,0
1541,0
16598,0
8714,0
10868,0
23,0
11645,0
729,0
1271,0
10264,0
441,0
5407,0
2476,0
6165,0
199,0
3578,0
12756,0
5729,0
12530,0
1926,0
15791,0
19617,0
7856,0
2083,0
6170,0
19463,0
11086,0
15755,0
18506,0
40,0
11174,0
10612,0
5657,0
18496,0
6047,0
1036,0
17951,0
18597,0
11069,0
17491,0
9074,0
19051,0
6748,0
12616,0
1484,0
2046,0
12795,0
17808,0
18329,0
19840,0
19489,0
1445,0
7603,0
19469,0
18305,0
12532,0
24,0
10287,0
7725,0
8245,0
16062,0
19515,0
10577,0
17810,0
12235,0
3355,0
16788,0
5906,0
8199,0
6465,0
9837,0
154,0
2510,0
2457,0
3488,0
9173,0
3064,0
2697,0
19934,0
9408,0
7373,0
12895,0
777,0
9880,0
8707,0
11,0
8,0
11289,0
10979,0
17595,0
16724,0
11187,0
6499,0
11226,0
9276,0
9047,0
9043,0
8437,0
1463,0
6176,0
11536,0
8939,0
15672,0
7167,0
290,0
17965,0
6338,0
7135,0
6556,0
2369,0
15646,0
8873,0
9569,0
495,0
9939,0
16458,0
1331,0
17059,0
1450,0
12627,0
16864,0
5661,0
12783,0
3486,0
16730,0
18371,0
8191,0
9195,0
12195,0
761,0
16733,0
10150,0
6382,0
18303,0
17267,0
16710,0
3357,0
10233,0
16824,0
8320,0
19829,0
12410,0
5943,0
12120,0
17331,0
12637,0
2255,0
1870,0
15897,0
10846,0
6156,0
371,0
6210,0
2651,0
11675,0
3068,0
5614,0
10313,0
17101,0
165,0
12138,0
1236,0
6263,0
19695,0
8441,0
16603,0
10111,0
11337,0
8801,0
1505,0
5513,0
10903,0
10994,0
3535,0
18402,0
11308,0
16927,0
784,0
17288,0
8992,0
7959,0
12114,0
16708,0
17971,0
1702,0
16021,0
18020,0
17689,0
6331,0
4,0
1086,0
1444,0
1782,0
19893,0
11439,0
8241,0
19024,0
11790,0
5460,0
18824,0
10295,0
12305,0
11793,0
12861,0
17123,0
18731,0
11329,0
6308,0
9219,0
585,0
11295,0
6084,0
7027,0
9779,0
16786,0
19544,0
16121,0
16169,0
16808,0
1452,0
205,0
890,0
17338,0
266,0
108,0
10069,0
543,0
10084,0
19040,0
9672,0
6908,0
16142,0
17470,0
19906,0
16358,0
13390,0
1326,0
11727,0
17406,0
17149,0
3203,0
19330,0
19628,0
17156,0
18521,0
13133,0
12451,0
16168,0
9841,0
18262,0
18269,0
11040,0
11104,0
2355,0
16765,0
19859,0
7393,0
1845,0
2118,0
8990,0
8188,0
11438,0
15978,0
6345,0
15889,0
18973,0
8508,0
655,0
853,0
13012,0
19269,0
16665,0
11556,0
2871,0
17091,0
7411,0
5792,0
8405,0
194,0
9592,0
7169,0
1121,0
1566,0
13183,0
18542,0
19538,0
8172,0
6154,0
12876,0
16109,0
6764,0
6892,0
6312,0
9757,0
1884,0
10107,0
8788,0
19615,0
18328,0
18079,0
106,0
2115,0
1944,0
1674,0
255,0
19156,0
1457,0
12063,0
12852,0
16866,0
5995,0
912,0
7309,0
10034,0
3320,0
16500,0
17974,0
2095,0
16608,0
883,0
10491,0
6870,0
7953,0
5633,0
17586,0
8170,0
8703,0
17809,0
1059,0
5442,0
10251,0
12436,0
12614,0
2232,0
15623,0
12663,0
10670,0
6039,0
7232,0
11102,0
13079,0
3039,0
2573,0
7112,0
9877,0
19712,0
12330,0
2868,0
16254,0
10035,0
217,0
18582,0
3516,0
9274,0
6433,0
2356,0
359,0
17498,0
1852,0
3101,0
9738,0
11679,0
2449,0
2952,0
12014,0
523,0
13139,0
2142,0
17494,0
7323,0
10728,0
7609,0
347,0
9238,0
2634,0
13320,0
16794,0
8751,0
6303,0
9803,0
7802,0
6586,0
8236,0
12606,0
7553,0
6177,0
5669,0
13195,0
11367,0
8813,0
6292,0
11243,0
17792,0
9675,0
7462,0
9740,0
8808,0
8981,0
12177,0
19038,0
6116,0
11080,0
8826,0
7172,0
1896,0
5817,0
6789,0
18750,0
904,0
18625,0
1226,0
10320,0
8611,0
3105,0
16674,0
6456,0
1122,0
11489,0
11601,0
19638,0
7701,0
17301,0
6525,0
1737,0
17751,0
13294,0
9098,0
5515,0
16898,0
5492,0
15617,0
5777,0
9455,0
15871,0
984,0
5892,0
600,0
9631,0
19662,0
460,0
17389,0
3070,0
7370,0
8948,0
12238,0
17534,0
16198,0
15985,0
16819,0
7973,0
17388,0
5527,0
17333,0
2281,0
19181,0
9970,0
1972,0
8265,0
16892,0
16974,0
6155,0
10304,0
15820,0
11108,0
19477,0
19795,0
10574,0
8568,0
3119,0
9545,0
10054,0
11081,0
13194,0
13283,0
16962,0
10444,0
8664,0
5435,0
6557,0
11437,0
13155,0
16144,0
19510,0
17134,0
5725,0
8002,0
3044,0
1920,0
9085,0
9079,0
5679,0
5656,0
10851,0
13150,0
9452,0
17931,0
10347,0
19821,0
9688,0
6193,0
11320,0
11730,0
2446,0
7971,0
12242,0
17928,0
12420,0
1263,0
11871,0
16100,0
19443,0
17192,0
11959,0
12005,0
17664,0
10277,0
2676,0
9873,0
11360,0
18897,0
13061,0
17057,0
7897,0
1269,0
7540,0
16745,0
93,0
9601,0
9316,0
9771,0
1060,0
17040,0
7792,0
9465,0
17605,0
11440,0
10593,0
1818,0
9172,0
268,0
9174,0
10136,0
8345,0
1061,0
7944,0
11444,0
8181,0
10754,0
8449,0
5829,0
6179,0
11956,0
17723,0
2642,0
2536,0
17452,0
8505,0
12510,0
6472,0
12578,0
2718,0
17466,0
2132,0
18562,0
18761,0
5410,0
2413,0
11265,0
18626,0
19892,0
10522,0
18717,0
8564,0
11877,0
7402,0
19298,0
7443,0
13324,0
19845,0
19434,0
7659,0
5469,0
709,0
2176,0
12577,0
18577,0
2630,0
1246,0
6353,0
17075,0
9789,0
12107,0
11213,0
9954,0
11888,0
6868,0
19843,0
473,0
2879,0
9243,0
7884,0
18218,0
9605,0
1695,0
15788,0
6749,0
11609,0
19291,0
19741,0
8005,0
1634,0
1120,0
2874,0
1296,0
6682,0
16187,0
5495,0
1647,0
12613,0
12023,0
6108,0
1871,0
2543,0
7165,0
12176,0
3331,0
13333,0
1699,0
13002,0
1905,0
11411,0
6100,0
18834,0
19060,0
12229,0
7485,0
8537,0
9471,0
5651,0
17067,0
10282,0
18333,0
3245,0
12845,0
11804,0
6807,0
369,0
11616,0
15722,0
16084,0
16642,0
8702,0
13004,0
8388,0
18203,0
7390,0
18447,0
17760,0
17945,0
625,0
10077,0
16990,0
7246,0
18354,0
2887,0
16849,0
8740,0
18413,0
19557,0
64,0
825,0
18793,0
17862,0
3563,0
11974,0
12742,0
16071,0
6765,0
17989,0
16028,0
16810,0
12267,0
926,0
9308,0
10615,0
7500,0
18219,0
2703,0
9867,0
1749,0
12727,0
12225,0
17136,0
19792,0
1605,0
9533,0
10890,0
6827,0
5401,0
11331,0
16138,0
12257,0
8477,0
12659,0
17799,0
18433,0
9370,0
170,0
11430,0
1100,0
11580,0
3539,0
18181,0
1840,0
8649,0
7681,0
9319,0
12125,0
1928,0
6229,0
12897,0
16124,0
8470,0
9965,0
1399,0
11056,0
16113,0
15893,0
18916,0
9511,0
2661,0
9909,0
